연도,월,주차,Target,y_pred_LinearRegression,y_pred_SVMRegressor,y_pred_RandomForestRegressor,y_pred_LGBMRegressor,y_pred_ExplainableBoostingRegressor
2023,1,1,37.0,38.11879348754883,43.950719201720155,38.6,38.578117112366826,40.7304799851266
2023,1,2,35.0,34.4780170917511,42.55847555834596,38.53421052631579,37.292774364591025,42.01088306172077
2023,1,3,36.0,33.88941693305969,41.99352265574288,34.463157894736845,35.30318799697485,35.070249236760105
2023,2,1,34.0,34.89528679847717,41.90882169650458,37.83684210526316,35.9420735598081,40.089188669812124
2023,2,2,32.0,33.91286635398865,41.16537788551495,33.73684210526316,35.510322803568535,38.23116473458415
2023,2,3,35.0,31.229843378067017,42.10581005754165,31.223684210526315,31.671622328203608,30.45479197435534
2023,2,4,37.0,35.751627922058105,42.954658977562474,34.77368421052632,37.41045849445128,34.871254293674156
2023,3,1,36.0,36.99392104148865,42.283240190118725,37.873684210526314,35.99450503296183,37.79586740850883
2023,3,2,34.0,35.93027997016907,41.841211417801375,37.742105263157896,36.59240867455043,33.938322100731966
2023,3,3,33.0,35.17151665687561,41.90556081162624,33.23157894736842,35.02790840836744,33.839291241153354
2023,3,4,34.0,33.92012286186218,42.50637740749812,31.676315789473684,34.016709384128056,33.50640654529591
2023,3,5,30.0,33.54417085647583,41.759802004333324,33.252631578947366,34.572495812834234,32.9267239066932
2023,4,1,31.0,29.26639413833618,39.779978315347485,31.207894736842107,30.933680700979465,32.947079434930494
2023,4,2,27.0,30.705045461654663,41.498379397078864,31.378947368421052,31.22574526965623,33.25429569216598
2023,4,3,31.0,27.915799617767334,42.00903811106362,25.96578947368421,27.013106090157603,27.280727651588332
2023,4,4,30.0,32.69523859024048,43.019224118431055,31.49473684210526,33.25320667701818,34.95324675071958
2023,5,1,33.0,29.939480781555176,42.97934178112317,30.621052631578948,30.034279800252992,31.36772370128615
2023,5,2,35.0,34.067182302474976,42.4683877712868,31.657894736842106,34.29497766923883,32.85152885609869
2023,5,3,37.0,34.2909471988678,41.360451735881774,34.607894736842105,34.91519347465052,33.56840656951732
2023,5,4,36.0,38.295382022857666,41.86963734558242,38.18421052631579,37.08792520682728,37.47234966457811
2023,6,1,35.0,37.24826622009277,43.455202676740065,38.56315789473684,38.805620597788206,38.02070931356084
2023,6,3,35.0,34.827816009521484,41.6738710754504,34.607894736842105,36.151858800332406,35.51334629711815
2023,6,4,36.0,34.35285806655884,41.23482844758805,34.71052631578947,35.746470301053634,35.169494997083234
2023,6,5,36.0,35.88370966911316,40.78488769263514,37.94210526315789,36.29661020834913,36.75572934119569
2023,7,1,38.0,35.4598708152771,40.81869301664321,37.857894736842105,35.65099444840761,38.112779702441294
2023,7,2,32.0,38.06857419013977,41.70559646761823,38.63947368421053,38.37075208987022,35.965479758719475
2023,7,3,33.0,33.11824607849121,38.68408266881539,31.63157894736842,31.434077660450768,33.814936882767675
2023,7,4,35.0,32.01276636123657,40.369008383017515,31.710526315789473,32.54694888953228,31.558949561888987
2023,8,1,33.0,35.041852712631226,41.311982695832945,34.73157894736842,36.55044212270667,33.55763200112413
2023,8,2,35.0,30.69299626350403,40.15976470172179,31.481578947368423,32.441397695490835,27.960421769968093
2023,8,4,34.0,36.33039832115173,42.50028829171083,35.03421052631579,37.425605018998155,37.570147528716696
2023,8,5,33.0,33.72088098526001,41.41643301968969,33.50526315789474,34.88289237579806,35.02916187533933
